n,avg_time_seconds
1,0.028120575000000158
2,0.021042342000000148
4,0.020551299999999627
8,0.020350800199999953
16,0.020300058599999816
32,0.020794608200000297
64,0.02238156659999966
128,0.026382208400000096
256,0.04265493359999972
512,0.11620904999999979
